x,Curve1
89.00967,2.35
89.2008,2.349
89.39194,2.347
89.58307,2.345
89.7742,2.344
89.86117,2.316
89.91089,2.923
89.95767,1.826
90.01881,1.457
90.0991,1.724
90.20233,2.045
90.39348,2.339
90.57698,2.632
90.76812,2.778
90.95162,3.072
91.13512,3.218
91.32626,3.363
91.5174,3.509
91.70089,3.655
91.89203,3.801
92.08318,4.095
92.2667,4.83
92.44259,5.861
92.5253,6.635
92.57838,7.639
92.63385,8.357
92.64381,6.901
92.65516,4.32
92.68345,6.366
92.7332,7.481
92.87091,9.544
93.00864,11.903
93.13874,14.556
93.24591,17.504
93.33782,20.895
93.37947,22.526
93.41443,24.286
93.46812,27.825
93.48737,30.71
93.50255,48.341
93.51496,68.009
93.53233,51.53
93.54623,42.507
93.55418,38.875
93.57312,35.244
93.60223,34.386
93.66248,35.344
93.6979,36.524
93.7745,39.767
93.85112,43.158
93.91245,46.697
93.97378,50.236
94.02746,53.627
94.08879,57.166
94.14248,60.704
94.20381,64.243
94.26514,67.634
94.32647,71.173
94.40309,74.564
94.49498,77.808
94.61744,80.461
94.68574,79.981
94.70768,79.05
94.72435,77.953
94.74813,75.511
94.77005,74.266
94.8081,70.727
94.8691,67.187
94.93774,63.795
95.02933,60.55
95.12092,57.305
95.22782,54.355
95.36533,52.141
95.42933,51.542
95.49001,51.431
95.54879,51.55
95.70923,49.337
95.87736,47.861
96.06081,46.974
96.24427,46.383
96.42773,45.939
96.6112,45.495
96.80233,45.346
96.87501,45.16
96.99345,45.05
97.16924,44.016
97.36036,43.72
97.53617,43.128
97.71963,42.537
97.90311,42.24
