x,Curve1
89.00821,0.2891
89.19931,0.2889
89.39042,0.2888
89.58152,0.2886
89.77262,0.2885
89.84095,0.2988
89.93322,0.5155
90.10908,0.6599
90.29257,0.763
90.4684,0.8248
90.65952,0.8866
90.843,0.9278
91.03412,0.9896
91.21758,1.0101
91.4087,1.0513
91.59217,1.0924
91.78328,1.1129
91.9744,1.1541
92.15787,1.1953
92.34898,1.2158
92.53245,1.2569
92.62948,1.4027
92.69299,1.3188
92.73074,1.3123
92.87649,1.4425
93.02946,1.7315
93.16715,2.0411
93.29721,2.392
93.41199,2.7635
93.51914,3.1971
93.611,3.6306
93.69523,4.1054
93.77181,4.5596
93.8484,5.0344
93.93267,5.6538
93.99398,6.1492
94.05528,6.6241
94.11658,7.1196
94.17024,7.6151
94.22391,8.1106
94.27757,8.606
94.33123,9.1015
94.39253,9.597
94.45383,10.0719
94.53042,10.5467
94.62417,10.8925
94.7034,10.6433
94.73677,10.4227
94.81307,9.9477
94.88936,9.4728
94.9886,9.0391
95.09549,8.6055
95.21767,8.2131
95.35517,7.8826
95.52327,7.6554
95.7067,7.5727
95.8978,7.5725
96.08127,7.6137
96.2724,7.6755
96.45586,7.696
96.64698,7.7372
96.83809,7.7577
97.02153,7.7163
97.21264,7.7161
97.40373,7.6747
97.58718,7.6539
97.77828,7.6331
97.96937,7.6123
