x (mm),P (Pa)
147.359,2090.6
148.021,2090.54
148.684,2090.48
149.346,2090.4
150.009,2090.31
150.672,2090.21
151.334,2090.1
151.997,2089.99
152.659,2089.88
153.322,2089.78
153.985,2089.69
154.647,2089.61
155.31,2089.54
155.972,2089.47
156.635,2089.42
157.297,2089.36
157.96,2089.31
158.623,2089.26
159.285,2089.2
159.948,2089.14
160.61,2089.08
161.273,2089.02
161.936,2088.95
162.598,2088.89
163.261,2088.82
163.923,2088.76
164.586,2088.69
165.249,2088.63
165.911,2088.57
166.574,2088.51
167.236,2088.46
167.899,2088.41
168.561,2088.36
169.224,2088.32
169.887,2088.28
170.549,2088.25
171.212,2088.2
171.874,2088.16
172.537,2088.11
173.2,2088.04
173.862,2087.97
174.525,2087.89
175.187,2087.8
175.85,2087.7
176.512,2087.61
177.175,2087.52
177.838,2087.44
178.5,2087.37
179.163,2087.31
179.825,2087.27
180.488,2087.23
181.151,2087.2
181.813,2087.16
182.476,2087.13
183.138,2087.08
183.801,2087.03
184.464,2086.98
185.126,2086.92
185.789,2086.85
186.451,2086.79
187.114,2086.73
187.776,2086.67
188.439,2086.62
189.102,2086.56
189.764,2086.51
190.427,2086.46
191.089,2086.4
191.752,2086.35
192.415,2086.3
193.077,2086.25
193.74,2086.19
194.402,2086.14
195.065,2086.1
195.727,2086.05
196.39,2086
197.053,2085.95
197.715,2085.9
198.378,2085.85
199.04,2085.8
199.703,2085.75
200.366,2085.7
201.028,2085.65
201.691,2085.6
202.353,2085.55
203.016,2085.5
203.679,2085.46
204.341,2085.41
204.341,2085.41
205.004,2085.37
205.666,2085.32
206.329,2085.28
206.991,2085.23
207.654,2085.18
208.317,2085.14
208.979,2085.09
209.642,2085.05
210.304,2085
210.967,2084.96
211.63,2084.91
212.292,2084.87
212.955,2084.82
213.617,2084.77
214.28,2084.72
214.942,2084.67
215.605,2084.62
216.268,2084.57
216.93,2084.53
217.593,2084.48
218.255,2084.44
218.918,2084.41
219.581,2084.37
220.243,2084.34
220.906,2084.31
221.568,2084.28
222.231,2084.25
222.894,2084.21
223.556,2084.17
224.219,2084.12
224.881,2084.07
225.544,2084.02
226.206,2083.96
226.869,2083.91
227.532,2083.85
228.194,2083.8
228.857,2083.75
229.519,2083.71
230.182,2083.66
230.845,2083.63
231.507,2083.59
232.17,2083.56
232.832,2083.52
233.495,2083.49
234.158,2083.46
234.82,2083.43
235.483,2083.39
236.145,2083.36
236.808,2083.33
237.47,2083.29
238.133,2083.26
238.796,2083.22
239.458,2083.18
240.121,2083.15
240.783,2083.11
241.446,2083.08
242.109,2083.04
242.771,2083.01
243.434,2082.97
244.096,2082.94
244.759,2082.9
245.421,2082.87
246.084,2082.83
246.747,2082.79
247.409,2082.75
248.072,2082.7
248.734,2082.66
249.397,2082.61
250.06,2082.56
250.722,2082.51
251.385,2082.47
252.047,2082.42
252.71,2082.38
253.372,2082.34
254.035,2082.31
254.698,2082.28
255.36,2082.26
256.023,2082.23
256.685,2082.21
257.348,2082.18
258.011,2082.16
258.673,2082.13
259.336,2082.1
259.998,2082.06
260.661,2082.03
261.324,2081.99
261.986,2081.95
262.649,2081.91
263.311,2081.87
263.974,2081.83
264.636,2081.8
265.299,2081.76
265.962,2081.73
266.624,2081.7
267.287,2081.67
267.949,2081.64
268.612,2081.61
269.275,2081.58
269.937,2081.54
270.6,2081.51
271.262,2081.48
271.925,2081.44
272.588,2081.41
273.25,2081.37
273.913,2081.34
274.575,2081.3
275.238,2081.27
275.9,2081.24
276.563,2081.2
277.226,2081.17
277.888,2081.14
278.551,2081.1
279.213,2081.07
279.876,2081.04
280.539,2081.01
281.201,2080.98
281.864,2080.95
282.526,2080.92
283.189,2080.89
283.851,2080.85
284.514,2080.82
285.177,2080.79
285.839,2080.77
286.502,2080.74
287.164,2080.71
287.827,2080.68
288.49,2080.66
289.152,2080.63
289.815,2080.6
290.477,2080.58
291.14,2080.55
291.802,2080.52
292.465,2080.49
293.128,2080.46
293.79,2080.42
294.453,2080.39
295.115,2080.35
295.778,2080.31
296.441,2080.28
297.103,2080.24
297.766,2080.2
298.428,2080.17
299.091,2080.13
299.754,2080.1
300.416,2080.07
301.079,2080.04
301.741,2080.01
302.404,2079.99
303.066,2079.96
303.729,2079.93
304.392,2079.91
305.054,2079.88
305.717,2079.86
306.379,2079.83
307.042,2079.81
307.705,2079.78
308.367,2079.75
309.03,2079.73
309.692,2079.7
310.355,2079.67
311.018,2079.65
311.68,2079.62
312.343,2079.59
313.005,2079.57
313.668,2079.54
314.33,2079.51
314.993,2079.49
315.656,2079.47
316.318,2079.44
316.981,2079.42
317.643,2079.4
318.306,2079.38
318.969,2079.36
319.631,2079.33
320.294,2079.31
320.956,2079.29
321.619,2079.26
322.281,2079.24
322.944,2079.21
323.607,2079.18
324.269,2079.15
324.932,2079.12
325.594,2079.09
326.257,2079.05
326.92,2079.01
327.582,2078.98
328.245,2078.94
328.907,2078.91
329.57,2078.88
330.233,2078.85
330.895,2078.82
331.558,2078.8
332.22,2078.77
332.883,2078.75
333.545,2078.73
334.208,2078.71
334.871,2078.69
335.533,2078.67
336.196,2078.64
336.858,2078.62
337.521,2078.6
338.184,2078.57
338.846,2078.55
339.509,2078.52
340.171,2078.49
340.834,2078.47
341.496,2078.44
342.159,2078.41
342.822,2078.39
343.484,2078.36
344.147,2078.34
344.809,2078.31
345.472,2078.29
346.135,2078.26
346.797,2078.23
347.46,2078.21
348.122,2078.19
348.785,2078.16
349.448,2078.14
350.11,2078.11
350.773,2078.09
351.435,2078.07
352.098,2078.05
352.76,2078.02
353.423,2078
354.086,2077.98
354.748,2077.95
355.411,2077.93
356.073,2077.9
356.736,2077.88
357.399,2077.85
358.061,2077.83
358.724,2077.8
359.386,2077.78
360.049,2077.75
360.711,2077.73
361.374,2077.71
362.037,2077.69
362.699,2077.67
363.362,2077.65
364.024,2077.63
364.687,2077.6
365.35,2077.58
366.012,2077.56
366.675,2077.54
367.337,2077.52
368,2077.5
368.663,2077.47
369.325,2077.45
369.988,2077.42
370.65,2077.4
371.313,2077.37
371.975,2077.35
372.638,2077.32
373.301,2077.3
373.963,2077.27
374.626,2077.25
375.288,2077.22
375.951,2077.2
376.614,2077.17
377.276,2077.15
377.939,2077.13
378.601,2077.1
379.264,2077.08
379.926,2077.06
380.589,2077.04
381.252,2077.01
381.914,2076.99
382.577,2076.97
383.239,2076.95
383.902,2076.93
384.565,2076.91
385.227,2076.89
385.89,2076.87
386.552,2076.85
387.215,2076.83
387.878,2076.81
388.54,2076.79
389.203,2076.77
389.865,2076.75
390.528,2076.73
391.19,2076.71
391.853,2076.69
392.516,2076.66
393.178,2076.64
393.841,2076.62
394.503,2076.59
395.166,2076.57
395.829,2076.54
396.491,2076.52
397.154,2076.49
397.816,2076.47
398.479,2076.44
399.141,2076.42
399.804,2076.4
400.467,2076.37
401.129,2076.35
401.792,2076.33
402.454,2076.31
403.117,2076.29
403.78,2076.27
404.442,2076.25
405.105,2076.23
405.767,2076.21
406.43,2076.19
407.093,2076.17
407.755,2076.15
408.418,2076.13
409.08,2076.12
409.743,2076.1
410.405,2076.09
411.068,2076.08
411.731,2076.07
412.393,2076.06
413.056,2076.05
413.718,2076.04
414.381,2076.04
415.044,2076.03
415.706,2076.03
416.369,2076.03
417.031,2076.03
417.694,2076.03
418.356,2076.03
419.019,2076.03
419.682,2076.03
420.344,2076.03
421.007,2076.03
421.669,2076.03
422.332,2076.03
422.995,2076.03
423.657,2076.03
