x (mm),P (Pa)
0,1997.27
0.0994524,2833.69
0.199899,2661.74
0.301351,2635.92
0.403817,2637.32
0.507307,2621.02
0.611832,2598.41
0.717403,2571.37
0.82403,2545.67
0.931722,2523.25
1.04049,2503.8
1.15035,2486.61
1.26131,2471.01
1.37337,2456.57
1.48656,2443.03
1.60087,2430.25
1.71634,2418.14
1.83295,2406.65
1.95073,2395.75
2.06969,2385.42
2.18984,2375.68
2.31119,2366.5
2.43376,2357.83
2.55755,2349.63
2.68258,2341.85
2.80885,2334.45
2.93639,2327.4
3.06521,2320.66
3.19531,2314.23
3.32672,2308.08
3.45944,2302.2
3.59349,2296.58
3.72887,2291.16
3.86561,2285.93
4.00372,2280.87
4.14321,2275.98
4.2841,2271.28
4.42639,2266.77
4.57011,2262.43
4.71526,2258.27
4.86187,2254.26
5.00994,2250.4
5.15949,2246.65
5.31054,2242.99
5.46309,2239.42
5.61718,2235.93
5.7728,2232.55
5.92998,2229.28
6.08873,2226.11
6.24907,2223.04
6.41102,2220.06
6.57458,2217.15
6.73978,2214.32
6.90663,2211.54
7.07515,2208.82
7.24535,2206.16
7.41726,2203.58
7.59088,2201.1
7.76624,2198.7
7.94336,2196.38
8.12224,2194.09
8.30292,2191.82
8.4854,2189.58
8.66971,2187.36
8.85585,2185.18
9.04387,2183.07
9.23376,2181.04
9.42555,2179.08
9.61925,2177.19
9.8149,2175.38
10.0125,2173.63
10.2121,2171.92
10.4137,2170.22
10.6172,2168.54
10.8229,2166.87
11.0305,2165.25
11.2403,2163.7
11.4522,2162.22
11.6661,2160.82
11.8822,2159.47
12.1005,2158.17
12.321,2156.9
12.5436,2155.66
12.7685,2154.47
12.9957,2153.33
13.2251,2152.25
13.4568,2151.22
13.6908,2150.25
13.9272,2149.33
14.1659,2148.47
14.407,2147.67
14.6505,2146.92
14.8965,2146.21
15.1449,2145.54
15.3958,2144.9
15.6492,2144.3
15.9051,2143.76
16.1637,2143.29
16.4247,2142.88
16.6884,2142.52
16.9548,2142.21
17.2238,2141.92
17.4955,2141.66
17.7699,2141.41
18.047,2141.19
18.3269,2141.01
18.6097,2140.89
18.8952,2140.82
19.1836,2140.79
19.4749,2140.8
19.7691,2140.8
20.0663,2140.8
20.3664,2140.81
20.6695,2140.83
20.9756,2140.88
21.2848,2140.95
21.5971,2141.05
21.9126,2141.14
22.2311,2141.22
22.5529,2141.3
22.8779,2141.38
23.2061,2141.49
23.5376,2141.66
23.8725,2141.86
24.2106,2142.06
24.5522,2142.25
24.8972,2142.41
25.2456,2142.55
25.5975,2142.67
25.9529,2142.78
26.3119,2142.88
26.6745,2142.96
27.0407,2143.03
27.4105,2143.08
27.7841,2143.11
28.1614,2143.1
28.5425,2143.05
28.9273,2142.95
29.3161,2142.81
29.7087,2142.64
30.1052,2142.45
30.5057,2142.23
30.9102,2142
31.3188,2141.74
31.7314,2141.46
32.1482,2141.15
32.5691,2140.82
32.9943,2140.48
33.4237,2140.12
33.8574,2139.75
34.2954,2139.36
34.7378,2138.94
35.1846,2138.52
35.6359,2138.07
36.0917,2137.61
36.5521,2137.14
37.0171,2136.67
37.4867,2136.21
37.961,2135.76
38.4401,2135.3
38.9239,2134.81
39.4126,2134.29
39.9062,2133.77
40.4047,2133.26
40.9082,2132.78
41.4167,2132.31
41.9304,2131.82
42.4491,2131.29
42.9731,2130.73
43.5023,2130.19
44.0367,2129.7
44.5765,2129.27
45.1218,2128.82
45.6724,2128.3
46.2286,2127.69
46.7904,2127.07
47.3577,2126.52
47.9307,2126.11
48.5095,2125.8
49.094,2125.49
49.6844,2125.07
50.2807,2124.48
50.883,2123.8
51.4913,2123.14
52.1056,2122.64
52.7261,2122.32
53.3529,2122.13
53.9858,2121.91
54.6252,2121.56
55.2709,2121.02
55.923,2120.34
56.5817,2119.65
57.247,2119.09
57.9096,2118.72
58.5721,2118.52
59.2347,2118.4
59.8973,2118.26
60.5599,2118.01
61.2225,2117.6
61.8851,2117.07
62.5477,2116.47
63.2102,2115.89
63.8728,2115.4
64.5354,2115.04
65.198,2114.81
65.8606,2114.69
66.5232,2114.61
67.1858,2114.52
67.8483,2114.38
68.5109,2114.17
69.1735,2113.89
69.8361,2113.54
70.4987,2113.14
71.1613,2112.7
71.8239,2112.26
72.4865,2111.83
73.149,2111.46
73.8116,2111.16
74.4742,2110.96
75.1368,2110.84
75.7994,2110.79
76.462,2110.77
77.1246,2110.76
77.7871,2110.71
78.4497,2110.62
79.1123,2110.49
79.7749,2110.31
80.4375,2110.11
81.1001,2109.88
81.7627,2109.63
82.4253,2109.37
83.0878,2109.12
83.7504,2108.87
84.413,2108.65
85.0756,2108.44
85.7382,2108.27
86.4008,2108.13
87.0633,2108.01
87.7259,2107.92
88.3885,2107.84
89.0511,2107.76
89.7137,2107.64
90.3763,2107.49
91.0389,2107.27
91.7015,2107
92.364,2106.69
93.0266,2106.37
93.6892,2106.09
94.3518,2105.88
95.0144,2105.74
95.677,2105.69
96.3396,2105.68
97.0021,2105.67
97.6647,2105.63
98.3273,2105.53
98.9899,2105.38
99.6525,2105.19
100.315,2105
100.978,2104.82
101.64,2104.67
102.303,2104.56
102.965,2104.46
103.628,2104.36
104.291,2104.26
104.953,2104.15
105.616,2104.04
106.278,2103.92
106.941,2103.81
107.604,2103.7
108.266,2103.6
108.929,2103.51
109.591,2103.41
110.254,2103.3
110.916,2103.2
111.579,2103.09
112.242,2102.98
112.904,2102.87
113.567,2102.78
114.229,2102.68
114.892,2102.59
115.555,2102.51
116.217,2102.42
116.88,2102.32
117.542,2102.22
118.205,2102.12
118.867,2102.01
119.53,2101.91
120.193,2101.82
120.855,2101.73
121.518,2101.65
122.18,2101.57
122.843,2101.5
123.506,2101.43
124.168,2101.36
124.831,2101.29
125.493,2101.22
126.156,2101.15
126.819,2101.07
127.481,2100.99
128.144,2100.9
128.806,2100.81
129.469,2100.71
130.131,2100.62
130.794,2100.53
131.457,2100.44
132.119,2100.36
132.782,2100.29
133.444,2100.23
134.107,2100.16
134.77,2100.1
135.432,2100.03
136.095,2099.97
136.757,2099.89
137.42,2099.82
138.082,2099.76
138.745,2099.69
139.408,2099.64
140.07,2099.59
140.733,2099.53
141.395,2099.48
