x (mm),Q (W/m2)
280.13,1.08E+05
281.127,1.08E+05
282.124,1.08E+05
283.121,1.08E+05
284.118,1.08E+05
285.115,1.08E+05
286.112,1.08E+05
287.108,1.08E+05
288.105,1.07E+05
289.102,1.07E+05
290.099,1.07E+05
291.096,1.07E+05
292.093,1.07E+05
293.09,1.07E+05
294.087,1.07E+05
295.084,1.07E+05
296.081,1.07E+05
297.077,1.07E+05
298.074,1.07E+05
299.071,1.07E+05
300.068,1.07E+05
301.065,1.07E+05
302.062,1.07E+05
303.059,1.07E+05
304.056,1.07E+05
305.053,1.06E+05
306.05,1.06E+05
307.046,1.06E+05
308.043,1.06E+05
309.04,1.06E+05
310.037,1.06E+05
311.034,1.06E+05
312.031,1.06E+05
313.028,1.06E+05
314.025,1.06E+05
315.022,1.06E+05
316.019,1.06E+05
317.016,1.06E+05
318.012,1.06E+05
319.009,1.06E+05
320.006,1.06E+05
321.003,1.06E+05
322,1.06E+05
322.997,1.05E+05
323.994,1.05E+05
324.991,1.05E+05
325.988,1.05E+05
326.985,1.05E+05
327.981,1.05E+05
328.978,1.05E+05
329.975,1.05E+05
330.972,1.05E+05
331.969,1.05E+05
332.966,1.05E+05
333.963,1.05E+05
334.96,1.05E+05
335.957,1.05E+05
336.954,1.05E+05
337.95,1.05E+05
338.947,1.05E+05
339.944,1.05E+05
340.941,1.05E+05
341.938,1.05E+05
342.935,1.04E+05
343.932,1.04E+05
344.929,1.04E+05
345.926,1.04E+05
346.923,1.04E+05
347.92,1.04E+05
348.916,1.04E+05
349.913,1.04E+05
350.91,1.04E+05
351.907,1.04E+05
352.904,1.04E+05
353.901,1.04E+05
354.898,1.04E+05
355.895,1.04E+05
356.892,1.04E+05
357.889,1.04E+05
358.885,1.04E+05
359.882,1.04E+05
360.879,1.04E+05
361.876,1.04E+05
362.873,1.04E+05
363.87,1.03E+05
364.867,1.03E+05
365.864,1.03E+05
366.861,1.03E+05
367.858,1.03E+05
368.855,1.03E+05
369.851,1.03E+05
370.848,1.03E+05
371.845,1.03E+05
372.842,1.03E+05
373.839,1.03E+05
374.836,1.03E+05
375.833,1.03E+05
376.83,1.03E+05
377.827,1.03E+05
378.824,1.03E+05
379.82,1.03E+05
380.817,1.03E+05
381.814,1.03E+05
382.811,1.03E+05
383.808,1.03E+05
384.805,1.03E+05
385.802,1.03E+05
386.799,1.02E+05
387.796,1.02E+05
388.793,1.02E+05
389.79,1.02E+05
390.786,1.02E+05
391.783,1.02E+05
392.78,1.02E+05
393.777,1.02E+05
394.774,1.02E+05
395.771,1.02E+05
396.768,1.02E+05
397.765,1.02E+05
398.762,1.02E+05
399.759,1.02E+05
400.755,1.02E+05
401.752,1.02E+05
402.749,1.02E+05
403.746,1.02E+05
404.743,1.02E+05
405.74,1.02E+05
406.737,1.02E+05
407.734,1.02E+05
408.731,1.02E+05
409.728,1.02E+05
410.725,1.02E+05
411.721,1.01E+05
412.718,1.01E+05
413.715,1.01E+05
414.712,1.01E+05
415.709,1.01E+05
416.706,1.01E+05
417.703,1.01E+05
418.7,1.01E+05
419.697,1.01E+05
420.694,1.01E+05
421.69,1.01E+05
422.687,1.01E+05
423.684,1.01E+05
424.681,1.01E+05
425.678,1.01E+05
426.675,1.01E+05
427.672,1.01E+05
428.669,1.01E+05
429.666,1.01E+05
430.663,1.01E+05
431.659,1.01E+05
432.656,1.01E+05
433.653,1.01E+05
434.65,1.01E+05
435.647,1.01E+05
436.644,1.01E+05
437.641,1.00E+05
438.638,1.00E+05
439.635,1.00E+05
440.632,1.00E+05
441.629,1.00E+05
442.625,1.00E+05
443.622,1.00E+05
444.619,1.00E+05
445.616,1.00E+05
446.613,1.00E+05
447.61,1.00E+05
448.607,1.00E+05
449.604,1.00E+05
450.601,1.00E+05
451.598,1.00E+05
452.594,1.00E+05
453.591,1.00E+05
454.588,1.00E+05
455.585,9.99E+04
456.582,9.99E+04
457.579,9.99E+04
458.576,9.98E+04
459.573,9.98E+04
460.57,9.98E+04
461.567,9.97E+04
462.564,9.97E+04
463.56,9.97E+04
464.557,9.96E+04
465.554,9.96E+04
466.551,9.96E+04
467.548,9.95E+04
468.545,9.95E+04
469.542,9.95E+04
470.539,9.94E+04
471.536,9.94E+04
472.533,9.94E+04
473.529,9.93E+04
474.526,9.93E+04
475.523,9.93E+04
