x (mm),P (Pa)
147.359,2098.67
148.021,2098.62
148.684,2098.58
149.346,2098.55
150.009,2098.52
150.672,2098.48
151.334,2098.43
151.997,2098.36
152.659,2098.29
153.322,2098.19
153.985,2098.09
154.647,2097.98
155.31,2097.88
155.972,2097.78
156.635,2097.69
157.297,2097.61
157.96,2097.54
158.623,2097.48
159.285,2097.43
159.948,2097.37
160.61,2097.32
161.273,2097.28
161.936,2097.24
162.598,2097.19
163.261,2097.14
163.923,2097.1
164.586,2097.06
165.249,2097.02
165.911,2096.98
166.574,2096.95
167.236,2096.9
167.899,2096.86
168.561,2096.81
169.224,2096.76
169.887,2096.7
170.549,2096.63
171.212,2096.55
171.874,2096.45
172.537,2096.36
173.2,2096.26
173.862,2096.16
174.525,2096.07
175.187,2096
175.85,2095.94
176.512,2095.9
177.175,2095.87
177.838,2095.84
178.5,2095.82
179.163,2095.8
179.825,2095.78
180.488,2095.75
181.151,2095.71
181.813,2095.66
182.476,2095.6
183.138,2095.53
183.801,2095.47
184.464,2095.4
185.126,2095.34
185.789,2095.28
186.451,2095.23
187.114,2095.18
187.776,2095.13
188.439,2095.09
189.102,2095.05
189.764,2094.99
190.427,2094.93
191.089,2094.88
191.752,2094.83
192.415,2094.78
193.077,2094.73
193.74,2094.68
194.402,2094.63
195.065,2094.6
195.727,2094.56
196.39,2094.51
197.053,2094.45
197.715,2094.41
198.378,2094.36
199.04,2094.31
199.703,2094.26
200.366,2094.21
201.028,2094.17
201.691,2094.12
202.353,2094.07
203.016,2094.02
203.679,2093.98
204.341,2093.93
205.004,2093.88
205.666,2093.84
206.329,2093.8
206.991,2093.76
207.654,2093.71
208.317,2093.67
208.979,2093.62
209.642,2093.58
210.304,2093.54
210.967,2093.49
211.63,2093.44
212.292,2093.4
212.955,2093.35
213.617,2093.31
214.28,2093.26
214.942,2093.22
215.605,2093.18
216.268,2093.14
216.93,2093.1
217.593,2093.07
218.255,2093.04
218.918,2093
219.581,2092.96
220.243,2092.91
220.906,2092.87
221.568,2092.81
222.231,2092.76
222.894,2092.7
223.556,2092.64
224.219,2092.59
224.881,2092.54
225.544,2092.5
226.206,2092.46
226.869,2092.42
227.532,2092.38
228.194,2092.35
228.857,2092.32
229.519,2092.29
230.182,2092.26
230.845,2092.23
231.507,2092.2
232.17,2092.16
232.832,2092.12
233.495,2092.07
234.158,2092.03
234.82,2091.98
235.483,2091.94
236.145,2091.9
236.808,2091.86
237.47,2091.82
238.133,2091.77
238.796,2091.73
239.458,2091.68
240.121,2091.65
240.783,2091.61
241.446,2091.57
242.109,2091.54
242.771,2091.5
243.434,2091.47
244.096,2091.44
244.759,2091.4
245.421,2091.37
246.084,2091.33
246.747,2091.3
247.409,2091.27
248.072,2091.24
248.734,2091.21
249.397,2091.17
250.06,2091.13
250.722,2091.09
251.385,2091.05
252.047,2091
252.71,2090.95
253.372,2090.9
254.035,2090.85
254.698,2090.81
255.36,2090.76
256.023,2090.71
256.685,2090.66
257.348,2090.63
258.011,2090.6
258.673,2090.57
259.336,2090.54
259.998,2090.52
260.661,2090.49
261.324,2090.46
261.986,2090.43
262.649,2090.4
263.311,2090.36
263.974,2090.32
264.636,2090.28
265.299,2090.24
265.962,2090.21
266.624,2090.17
267.287,2090.13
267.949,2090.09
268.612,2090.06
269.275,2090.02
269.937,2089.99
270.6,2089.95
271.262,2089.92
271.925,2089.88
272.588,2089.85
273.25,2089.82
273.913,2089.78
274.575,2089.74
275.238,2089.71
275.9,2089.67
276.563,2089.63
277.226,2089.6
277.888,2089.56
278.551,2089.53
279.213,2089.49
279.876,2089.46
280.539,2089.42
281.201,2089.39
281.864,2089.36
282.526,2089.32
283.189,2089.28
283.851,2089.24
284.514,2089.22
285.177,2089.19
285.839,2089.15
286.502,2089.11
287.164,2089.08
287.827,2089.04
288.49,2089.02
289.152,2088.99
289.815,2088.95
290.477,2088.92
291.14,2088.91
291.802,2088.88
292.465,2088.85
293.128,2088.82
293.79,2088.79
294.453,2088.75
295.115,2088.71
295.778,2088.68
296.441,2088.64
297.103,2088.6
297.766,2088.56
298.428,2088.52
299.091,2088.47
299.754,2088.43
300.416,2088.4
301.079,2088.35
301.741,2088.31
302.404,2088.29
303.066,2088.25
303.729,2088.22
304.392,2088.19
305.054,2088.17
305.717,2088.14
306.379,2088.11
307.042,2088.08
307.705,2088.05
308.367,2088.02
309.03,2087.99
309.692,2087.96
310.355,2087.93
311.018,2087.91
311.68,2087.88
312.343,2087.84
313.005,2087.81
313.668,2087.79
314.33,2087.76
314.993,2087.74
315.656,2087.71
316.318,2087.69
316.981,2087.66
317.643,2087.64
318.306,2087.62
318.969,2087.59
319.631,2087.56
320.294,2087.53
320.956,2087.5
321.619,2087.46
322.281,2087.43
322.944,2087.39
323.607,2087.34
324.269,2087.3
324.932,2087.27
325.594,2087.23
326.257,2087.18
