x (mm),Q (W/m2)
0,6535600
0.0994524,4902650
0.199899,2805010
0.301351,2119270
0.403817,1735040
0.507307,1483030
0.611832,1306070
0.717403,1174430
0.82403,1072690
0.931722,991075
1.04049,923768
1.15035,867139
1.26131,818717
1.37337,776735
1.48656,739911
1.60087,707290
1.71634,678150
1.83295,651921
1.95073,628148
2.06969,606461
2.18984,586557
2.31119,568195
2.43376,551180
2.55755,535357
2.68258,520598
2.80885,506793
2.93639,493845
3.06521,481672
3.19531,470199
3.32672,459362
3.45944,449104
3.59349,439375
3.72887,430130
3.86561,421330
4.00372,412943
4.14321,404941
4.2841,397297
4.42639,389985
4.57011,382980
4.71526,376257
4.86187,369799
5.00994,363589
5.15949,357616
5.31054,351867
5.46309,346329
5.61718,340988
5.7728,335832
5.92998,330852
6.08873,326037
6.24907,321382
6.41102,316878
6.57458,312518
6.73978,308296
6.90663,304205
7.07515,300240
7.24535,296397
7.41726,292667
7.59088,289046
7.76624,285526
7.94336,282106
8.12224,278782
8.30292,275554
8.4854,272419
8.66971,269376
8.85585,266419
9.04387,263544
9.23376,260749
9.42555,258029
9.61925,255380
9.8149,252801
10.0125,250290
10.2121,247848
10.4137,245475
10.6172,243172
10.8229,240936
11.0305,238764
11.2403,236655
11.4522,234604
11.6661,232612
11.8822,230678
12.1005,228801
12.321,226981
12.5436,225218
12.7685,223510
12.9957,221855
13.2251,220254
13.4568,218705
13.6908,217207
13.9272,215760
14.1659,214363
14.407,213014
14.6505,211714
14.8965,210460
15.1449,209252
15.3958,208087
15.6492,206964
15.9051,205883
16.1637,204844
16.4247,203845
16.6884,202885
16.9548,201962
17.2238,201074
17.4955,200219
17.7699,199396
18.047,198604
18.3269,197842
18.6097,197108
18.8952,196402
19.1836,195721
19.4749,195064
19.7691,194429
20.0663,193813
20.3664,193215
20.6695,192634
20.9756,192068
21.2848,191518
21.5971,190980
21.9126,190454
22.2311,189939
22.5529,189434
22.8779,188937
23.2061,188448
23.5376,187965
23.8725,187487
24.2106,187014
24.5522,186544
24.8972,186078
25.2456,185614
25.5975,185155
25.9529,184700
26.3119,184245
