x (mm),P (Pa)
0,1803.06
0.996904,2830.33
1.99381,2681.1
2.99071,2401.82
3.98762,2170.23
4.98452,2047.47
5.98142,2010.58
6.97833,1995.46
7.97523,1994.35
8.97214,1997.55
9.96904,2005.3
10.9659,2019.89
11.9628,2033.68
12.9598,2047.99
13.9567,2062.61
14.9536,2068.59
15.9505,2063.77
16.9474,2060.04
17.9443,2060.05
18.9412,2067.2
19.9381,2084.38
20.935,2102.98
21.9319,2117.53
22.9288,2128.44
23.9257,2134.35
24.9226,2134.13
25.9195,2131.63
26.9164,2130.38
27.9133,2130.13
28.9102,2131.8
29.9071,2136.35
30.904,2140.42
31.9009,2141.33
32.8978,2139.53
33.8947,2136.39
34.8916,2132.84
35.8885,2129.65
36.8855,2127.2
37.8824,2125
38.8793,2123.67
39.8762,2124.37
40.8731,2125.93
41.87,2126.44
42.8669,2125.57
43.8638,2123.97
44.8607,2122.09
45.8576,2120.12
46.8545,2118.45
47.8514,2117.14
48.8483,2116.15
49.8452,2116.16
50.8421,2117.34
51.839,2118.57
52.8359,2118.8
53.8328,2118.03
54.8297,2116.75
55.8266,2115.26
56.8235,2113.69
57.8204,2112.19
58.8173,2110.88
59.8142,2109.94
60.8112,2109.65
61.8081,2110.06
62.805,2110.67
63.8019,2110.83
64.7988,2110.35
65.7957,2109.47
66.7926,2108.48
67.7895,2107.48
68.7864,2106.53
69.7833,2105.66
70.7802,2104.98
71.7771,2104.69
72.774,2104.95
73.7709,2105.58
74.7678,2106.11
75.7647,2106.21
76.7616,2105.86
77.7585,2105.25
78.7554,2104.53
79.7523,2103.8
80.7492,2103.13
81.7461,2102.51
82.743,2102.03
83.74,2101.84
84.7369,2102.07
85.7338,2102.54
86.7307,2102.95
87.7276,2103.04
88.7245,2102.78
89.7214,2102.31
90.7183,2101.74
91.7152,2101.15
92.7121,2100.59
93.709,2100.08
94.7059,2099.67
95.7028,2099.5
96.6997,2099.68
97.6966,2100.16
98.6935,2100.68
99.6904,2100.97
100.687,2100.92
101.684,2100.6
102.681,2100.13
103.678,2099.6
104.675,2099.07
105.672,2098.57
106.669,2098.12
107.666,2097.81
108.663,2097.75
109.659,2097.95
110.656,2098.33
111.653,2098.66
112.65,2098.79
113.647,2098.68
114.644,2098.39
115.641,2098
116.638,2097.57
117.635,2097.14
118.632,2096.73
119.628,2096.37
120.625,2096.15
121.622,2096.14
122.619,2096.35
123.616,2096.68
124.613,2096.97
125.61,2097.09
126.607,2097.01
127.604,2096.77
128.601,2096.42
129.598,2096.03
130.594,2095.64
131.591,2095.28
132.588,2094.97
133.585,2094.78
134.582,2094.78
135.579,2094.97
136.576,2095.27
137.573,2095.56
138.57,2095.71
139.567,2095.68
140.563,2095.47
141.56,2095.16
142.557,2094.8
143.554,2094.43
144.551,2094.08
145.548,2093.77
146.545,2093.55
147.542,2093.47
148.539,2093.56
149.536,2093.78
150.533,2094.05
151.529,2094.26
152.526,2094.35
153.523,2094.3
154.52,2094.14
155.517,2093.9
156.514,2093.62
157.511,2093.34
158.508,2093.06
159.505,2092.84
160.502,2092.7
161.498,2092.69
162.495,2092.8
163.492,2092.98
164.489,2093.15
165.486,2093.24
166.483,2093.21
167.48,2093.07
168.477,2092.85
169.474,2092.6
170.471,2092.35
171.468,2092.11
172.464,2091.91
173.461,2091.78
174.458,2091.74
175.455,2091.81
176.452,2091.95
177.449,2092.12
178.446,2092.26
179.443,2092.3
180.44,2092.24
181.437,2092.09
182.433,2091.89
183.43,2091.65
184.427,2091.41
185.424,2091.18
186.421,2090.98
187.418,2090.85
188.415,2090.81
189.412,2090.87
190.409,2091.01
191.406,2091.17
192.402,2091.3
193.399,2091.36
194.396,2091.33
195.393,2091.22
196.39,2091.04
197.387,2090.84
198.384,2090.62
199.381,2090.4
200.378,2090.22
201.375,2090.09
202.372,2090.04
203.368,2090.08
204.365,2090.19
205.362,2090.32
206.359,2090.42
207.356,2090.47
208.353,2090.45
209.35,2090.36
210.347,2090.21
211.344,2090.04
212.341,2089.84
213.337,2089.65
214.334,2089.48
215.331,2089.35
216.328,2089.3
217.325,2089.33
218.322,2089.42
219.319,2089.53
220.316,2089.64
221.313,2089.69
222.31,2089.68
223.307,2089.6
224.303,2089.47
225.3,2089.3
226.297,2089.12
227.294,2088.93
228.291,2088.77
229.288,2088.64
230.285,2088.58
231.282,2088.59
232.279,2088.66
233.276,2088.77
234.272,2088.87
235.269,2088.94
236.266,2088.94
237.263,2088.89
238.26,2088.79
239.257,2088.65
240.254,2088.48
241.251,2088.31
242.248,2088.14
243.245,2088
244.242,2087.91
245.238,2087.88
246.235,2087.9
247.232,2087.97
248.229,2088.06
249.226,2088.13
250.223,2088.16
251.22,2088.15
252.217,2088.08
253.214,2087.97
254.211,2087.83
255.207,2087.67
256.204,2087.5
257.201,2087.35
258.198,2087.23
259.195,2087.16
260.192,2087.14
261.189,2087.19
262.186,2087.26
263.183,2087.34
264.18,2087.41
265.177,2087.43
266.173,2087.41
267.17,2087.34
268.167,2087.23
269.164,2087.1
270.161,2086.95
271.158,2086.8
272.155,2086.67
273.152,2086.56
274.149,2086.49
275.146,2086.48
276.142,2086.51
277.139,2086.56
