x (mm),Q (W/m2)
106.941,1.24E+05
107.604,1.23E+05
108.266,1.23E+05
108.929,1.23E+05
109.591,1.23E+05
110.254,1.23E+05
110.916,1.23E+05
111.579,1.22E+05
112.242,1.22E+05
112.904,1.22E+05
113.567,1.22E+05
114.229,1.22E+05
114.892,1.22E+05
115.555,1.22E+05
116.217,1.21E+05
116.88,1.21E+05
117.542,1.21E+05
118.205,1.21E+05
118.867,1.21E+05
119.53,1.21E+05
120.193,1.21E+05
120.855,1.20E+05
121.518,1.20E+05
122.18,1.20E+05
122.843,1.20E+05
123.506,1.20E+05
124.168,1.20E+05
124.831,1.20E+05
125.493,1.19E+05
126.156,1.19E+05
126.819,1.19E+05
127.481,1.19E+05
128.144,1.19E+05
128.806,1.19E+05
129.469,1.19E+05
130.131,1.19E+05
130.794,1.18E+05
131.457,1.18E+05
132.119,1.18E+05
132.782,1.18E+05
133.444,1.18E+05
134.107,1.18E+05
134.77,1.18E+05
135.432,1.18E+05
136.095,1.17E+05
136.757,1.17E+05
137.42,1.17E+05
138.082,1.17E+05
138.745,1.17E+05
139.408,1.17E+05
140.07,1.17E+05
140.733,1.17E+05
141.395,1.17E+05
142.058,1.16E+05
142.721,1.16E+05
143.383,1.16E+05
144.046,1.16E+05
144.708,1.16E+05
145.371,1.16E+05
146.034,1.16E+05
146.696,1.16E+05
147.359,1.16E+05
148.021,1.16E+05
148.684,1.15E+05
149.346,1.15E+05
150.009,1.15E+05
150.672,1.15E+05
151.334,1.15E+05
151.997,1.15E+05
152.659,1.15E+05
153.322,1.15E+05
153.985,1.15E+05
154.647,1.15E+05
155.31,1.14E+05
155.972,1.14E+05
156.635,1.14E+05
157.297,1.14E+05
157.96,1.14E+05
158.623,1.14E+05
159.285,1.14E+05
159.948,1.14E+05
160.61,1.14E+05
161.273,1.14E+05
161.936,1.14E+05
162.598,1.13E+05
163.261,1.13E+05
163.923,1.13E+05
164.586,1.13E+05
165.249,1.13E+05
165.911,1.13E+05
166.574,1.13E+05
167.236,1.13E+05
167.899,1.13E+05
168.561,1.13E+05
169.224,1.13E+05
169.887,1.13E+05
170.549,1.12E+05
171.212,1.12E+05
171.874,1.12E+05
172.537,1.12E+05
173.2,1.12E+05
173.862,1.12E+05
174.525,1.12E+05
175.187,1.12E+05
175.85,1.12E+05
176.512,1.12E+05
177.175,1.12E+05
177.838,1.12E+05
178.5,1.11E+05
179.163,1.11E+05
179.825,1.11E+05
180.488,1.11E+05
181.151,1.11E+05
181.813,1.11E+05
182.476,1.11E+05
183.138,1.11E+05
183.801,1.11E+05
184.464,1.11E+05
185.126,1.11E+05
185.789,1.11E+05
186.451,1.11E+05
187.114,1.11E+05
187.776,1.10E+05
188.439,1.10E+05
189.102,1.10E+05
189.102,1.10E+05
189.764,1.10E+05
190.427,1.10E+05
191.089,1.10E+05
191.752,1.10E+05
192.415,1.10E+05
193.077,1.10E+05
193.74,1.10E+05
194.402,1.10E+05
195.065,1.10E+05
195.727,1.10E+05
196.39,1.10E+05
197.053,1.09E+05
197.715,1.09E+05
198.378,1.09E+05
199.04,1.09E+05
199.703,1.09E+05
200.366,1.09E+05
201.028,1.09E+05
201.691,1.09E+05
202.353,1.09E+05
203.016,1.09E+05
203.679,1.09E+05
204.341,1.09E+05
205.004,1.09E+05
205.666,1.09E+05
206.329,1.09E+05
206.991,1.09E+05
207.654,1.08E+05
208.317,1.08E+05
