x (mm),P (Pa)
0,2007.84
0.0994524,2857.26
0.199899,2690.49
0.301351,2669.58
0.403817,2668.58
0.507307,2649.16
0.611832,2622.07
0.717403,2590.79
0.82403,2561.08
0.931722,2534.81
1.04049,2511.92
1.15035,2492
1.26131,2474.48
1.37337,2458.79
1.48656,2444.5
1.60087,2431.28
1.71634,2418.95
1.83295,2407.35
1.95073,2396.41
2.06969,2386.03
2.18984,2376.19
2.31119,2366.86
2.43376,2358.04
2.55755,2349.69
2.68258,2341.77
2.80885,2334.23
2.93639,2327.03
3.06521,2320.15
3.19531,2313.58
3.32672,2307.29
3.45944,2301.25
3.59349,2295.44
3.72887,2289.84
3.86561,2284.44
4.00372,2279.23
4.14321,2274.19
4.2841,2269.3
4.42639,2264.56
4.57011,2259.98
4.71526,2255.54
4.86187,2251.23
5.00994,2247.02
5.15949,2242.93
5.31054,2238.95
5.46309,2235.1
5.61718,2231.38
5.7728,2227.78
5.92998,2224.28
6.08873,2220.89
6.24907,2217.59
6.41102,2214.39
6.57458,2211.3
6.73978,2208.32
6.90663,2205.46
7.07515,2202.69
7.24535,2200
7.41726,2197.39
7.59088,2194.85
7.76624,2192.42
7.94336,2190.1
8.12224,2187.91
8.30292,2185.83
8.4854,2183.83
8.66971,2181.9
8.85585,2180.03
9.04387,2178.24
9.23376,2176.54
9.42555,2174.93
9.61925,2173.42
9.8149,2171.97
10.0125,2170.57
10.2121,2169.21
10.4137,2167.9
10.6172,2166.65
10.8229,2165.47
11.0305,2164.38
11.2403,2163.37
11.4522,2162.43
11.6661,2161.53
11.8822,2160.67
12.1005,2159.85
12.321,2159.06
12.5436,2158.31
12.7685,2157.59
12.9957,2156.91
13.2251,2156.27
13.4568,2155.65
13.6908,2155.07
13.9272,2154.52
14.1659,2153.99
14.407,2153.47
14.6505,2152.98
14.8965,2152.5
15.1449,2152.05
15.3958,2151.63
15.6492,2151.21
15.9051,2150.8
16.1637,2150.39
16.4247,2149.98
16.6884,2149.57
16.9548,2149.17
17.2238,2148.78
17.4955,2148.39
17.7699,2148.02
18.047,2147.65
18.3269,2147.3
18.6097,2146.95
18.8952,2146.59
19.1836,2146.22
19.4749,2145.84
19.7691,2145.45
20.0663,2145.05
20.3664,2144.65
20.6695,2144.26
20.9756,2143.88
21.2848,2143.49
21.5971,2143.1
21.9126,2142.71
22.2311,2142.32
22.5529,2141.93
22.8779,2141.52
23.2061,2141.11
23.5376,2140.69
23.8725,2140.26
24.2106,2139.82
24.5522,2139.38
24.8972,2138.94
25.2456,2138.5
25.5975,2138.07
25.9529,2137.63
26.3119,2137.2
26.6745,2136.77
27.0407,2136.35
27.4105,2135.92
27.7841,2135.48
28.1614,2135.02
28.5425,2134.56
28.9273,2134.09
29.3161,2133.63
29.7087,2133.18
30.1052,2132.73
30.5057,2132.3
30.9102,2131.85
31.3188,2131.4
31.7314,2130.94
32.1482,2130.48
32.5691,2130.02
32.9943,2129.57
33.4237,2129.12
33.8574,2128.68
34.2954,2128.24
34.7378,2127.8
35.1846,2127.35
35.6359,2126.91
36.0917,2126.46
36.5521,2126.01
37.0171,2125.57
37.4867,2125.14
37.961,2124.7
38.4401,2124.27
38.9239,2123.83
39.4126,2123.39
39.9062,2122.97
40.4047,2122.56
40.9082,2122.16
41.4167,2121.74
41.9304,2121.31
42.4491,2120.88
42.9731,2120.47
43.5023,2120.08
44.0367,2119.71
44.5765,2119.3
45.1218,2118.84
45.6724,2118.37
46.2286,2117.93
46.7904,2117.57
47.3577,2117.28
47.9307,2117.01
48.5095,2116.67
49.094,2116.23
49.6844,2115.71
50.2807,2115.19
50.883,2114.76
51.4913,2114.47
52.1056,2114.29
52.7261,2114.11
53.3529,2113.83
53.9858,2113.41
54.6252,2112.87
55.2709,2112.3
55.923,2111.82
56.5817,2111.48
57.247,2111.28
57.9096,2111.17
58.5721,2111.06
59.2347,2110.86
59.8973,2110.54
60.5599,2110.1
61.2225,2109.59
61.8851,2109.08
62.5477,2108.63
63.2102,2108.28
63.8728,2108.04
64.5354,2107.89
65.198,2107.78
65.8606,2107.69
66.5232,2107.57
67.1858,2107.41
67.8483,2107.21
68.5109,2106.95
69.1735,2106.62
69.8361,2106.24
70.4987,2105.81
71.1613,2105.37
71.8239,2104.94
72.4865,2104.56
73.149,2104.27
73.8116,2104.07
74.4742,2103.95
75.1368,2103.87
75.7994,2103.81
76.462,2103.74
77.1246,2103.64
77.7871,2103.52
78.4497,2103.39
79.1123,2103.24
79.7749,2103.08
80.4375,2102.89
81.1001,2102.69
81.7627,2102.46
82.4253,2102.2
83.0878,2101.93
83.7504,2101.67
84.413,2101.41
85.0756,2101.19
85.7382,2100.99
86.4008,2100.82
87.0633,2100.69
87.7259,2100.58
88.3885,2100.48
89.0511,2100.37
89.7137,2100.24
90.3763,2100.07
91.0389,2099.86
91.7015,2099.61
92.364,2099.32
93.0266,2099.04
93.6892,2098.77
94.3518,2098.56
95.0144,2098.39
95.677,2098.28
96.3396,2098.2
97.0021,2098.12
97.6647,2098.03
98.3273,2097.92
98.9899,2097.77
99.6525,2097.6
100.315,2097.43
100.978,2097.26
101.64,2097.11
102.303,2096.97
102.965,2096.84
103.628,2096.71
104.291,2096.58
104.953,2096.45
105.616,2096.32
106.278,2096.19
106.941,2096.06
107.604,2095.94
108.266,2095.82
108.929,2095.71
109.591,2095.59
110.254,2095.48
110.916,2095.36
111.579,2095.25
112.242,2095.14
112.904,2095.03
113.567,2094.92
114.229,2094.8
114.892,2094.68
115.555,2094.57
116.217,2094.45
116.88,2094.34
117.542,2094.23
118.205,2094.12
118.867,2094.02
119.53,2093.93
120.193,2093.83
120.855,2093.74
121.518,2093.64
122.18,2093.55
122.843,2093.45
123.506,2093.35
124.168,2093.25
124.831,2093.15
125.493,2093.06
126.156,2092.97
126.819,2092.88
127.481,2092.81
128.144,2092.73
128.806,2092.66
129.469,2092.59
130.131,2092.51
130.794,2092.43
131.457,2092.33
132.119,2092.23
132.782,2092.13
133.444,2092.02
134.107,2091.92
134.77,2091.82
135.432,2091.74
136.095,2091.66
136.757,2091.59
137.42,2091.53
138.082,2091.46
138.745,2091.4
139.408,2091.32
140.07,2091.24
140.733,2091.15
141.395,2091.06
142.058,2090.96
142.721,2090.86
143.383,2090.78
144.046,2090.71
144.708,2090.64
145.371,2090.58
146.034,2090.53
146.696,2090.46
147.359,2090.39
148.021,2090.3
148.684,2090.21
149.346,2090.1
150.009,2089.99
150.672,2089.89
151.334,2089.79
151.997,2089.71
152.659,2089.64
153.322,2089.58
153.985,2089.53
154.647,2089.48
155.31,2089.44
155.972,2089.4
156.635,2089.35
157.297,2089.3
157.96,2089.24
158.623,2089.18
159.285,2089.12
