x (mm),Q (W/m2)
0,6536180
0.0994524,4901660
0.199899,2802980
0.301351,2118120
0.403817,1734430
0.507307,1482660
0.611832,1305770
0.717403,1174120
0.82403,1072360
0.931722,990719
1.04049,923393
1.15035,866749
1.26131,818311
1.37337,776313
1.48656,739473
1.60087,706837
1.71634,677682
1.83295,651441
1.95073,627659
2.06969,605964
2.18984,586056
2.31119,567691
2.43376,550677
2.55755,534857
2.68258,520102
2.80885,506305
2.93639,493367
3.06521,481206
3.19531,469747
3.32672,458928
3.45944,448693
3.59349,438990
3.72887,429776
3.86561,421009
4.00372,412658
4.14321,404695
4.2841,397092
4.42639,389825
4.57011,382867
4.71526,376196
4.86187,369792
5.00994,363641
5.15949,357729
5.31054,352045
5.46309,346575
5.61718,341304
5.7728,336221
5.92998,331316
6.08873,326580
6.24907,322005
6.41102,317584
6.57458,313309
6.73978,309173
6.90663,305171
7.07515,301297
7.24535,297546
7.41726,293912
7.59088,290390
7.76624,286971
7.94336,283653
8.12224,280431
8.30292,277304
8.4854,274271
8.66971,271331
8.85585,268479
9.04387,265712
9.23376,263023
9.42555,260408
9.61925,257862
9.8149,255384
10.0125,252974
10.2121,250630
10.4137,248356
10.6172,246148
10.8229,244004
11.0305,241919
11.2403,239889
11.4522,237913
11.6661,235988
11.8822,234114
12.1005,232289
12.321,230514
12.5436,228786
12.7685,227104
12.9957,225466
13.2251,223870
13.4568,222315
13.6908,220798
13.9272,219320
14.1659,217878
14.407,216472
14.6505,215101
14.8965,213764
15.1449,212458
15.3958,211183
15.6492,209936
15.9051,208716
16.1637,207523
16.4247,206356
16.6884,205215
16.9548,204097
17.2238,203002
17.4955,201930
17.7699,200877
18.047,199845
18.3269,198833
18.6097,197841
18.8952,196867
19.1836,195910
19.4749,194970
19.7691,194045
20.0663,193134
20.3664,192237
20.6695,191353
20.9756,190483
21.2848,189625
21.5971,188779
21.9126,187945
22.2311,187122
22.5529,186309
22.8779,185508
23.2061,184716
23.5376,183934
23.8725,183162
24.2106,182398
24.5522,181642
24.8972,180894
25.2456,180155
25.5975,179424
25.9529,178700
26.3119,177984
26.6745,177275
27.0407,176572
27.4105,175875
27.7841,175186
28.1614,174502
28.5425,173826
28.9273,173156
29.3161,172493
29.7087,171836
30.1052,171184
30.5057,170538
30.9102,169898
31.3188,169263
31.7314,168634
32.1482,168010
32.5691,167392
32.9943,166779
33.4237,166171
33.8574,165568
34.2954,164971
34.7378,164379
35.1846,163791
35.6359,163209
36.0917,162631
36.5521,162058
37.0171,161490
37.4867,160927
37.961,160369
38.4401,159814
38.9239,159265
39.4126,158721
39.9062,158182
40.4047,157647
40.9082,157115
41.4167,156586
41.9304,156061
42.4491,155542
42.9731,155030
43.5023,154523
44.0367,154019
44.5765,153516
45.1218,153014
45.6724,152516
46.2286,152024
46.7904,151541
47.3577,151065
47.9307,150592
48.5095,150119
49.094,149644
49.6844,149169
50.2807,148697
50.883,148235
51.4913,147782
52.1056,147338
52.7261,146899
53.3529,146459
53.9858,146016
54.6252,145569
55.2709,145123
55.923,144682
56.5817,144250
57.247,143827
57.9096,143420
58.5721,143021
59.2347,142628
59.8973,142236
60.5599,141846
61.2225,141456
61.8851,141068
62.5477,140685
63.2102,140310
63.8728,139944
64.5354,139587
65.198,139241
65.8606,138903
66.5232,138572
67.1858,138247
67.8483,137925
68.5109,137607
69.1735,137292
69.8361,136979
70.4987,136668
71.1613,136357
71.8239,136047
72.4865,135739
73.149,135434
73.8116,135135
74.4742,134842
75.1368,134558
75.7994,134281
76.462,134011
77.1246,133747
77.7871,133488
78.4497,133232
79.1123,132979
79.7749,132729
80.4375,132479
81.1001,132232
81.7627,131985
82.4253,131740
83.0878,131496
83.7504,131254
84.413,131015
85.0756,130780
85.7382,130549
86.4008,130322
87.0633,130099
87.7259,129880
88.3885,129664
89.0511,129449
89.7137,129234
90.3763,129020
91.0389,128805
91.7015,128589
92.364,128375
93.0266,128164
93.6892,127957
94.3518,127755
95.0144,127558
95.677,127367
96.3396,127179
97.0021,126994
97.6647,126809
98.3273,126624
98.9899,126438
99.6525,126253
100.315,126070
100.978,125888
101.64,125710
102.303,125534
102.965,125360
103.628,125189
104.291,125019
104.953,124850
105.616,124683
106.278,124517
106.941,124352
107.604,124189
108.266,124028
108.929,123868
109.591,123710
110.254,123554
110.916,123398
111.579,123245
112.242,123092
112.904,122941
113.567,122791
114.229,122643
114.892,122496
115.555,122350
116.217,122205
116.88,122061
117.542,121918
118.205,121776
118.867,121635
119.53,121496
120.193,121358
120.855,121221
121.518,121086
122.18,120951
122.843,120819
123.506,120687
124.168,120557
124.831,120428
125.493,120300
126.156,120172
126.819,120046
127.481,119921
128.144,119796
128.806,119672
129.469,119548
130.131,119425
130.794,119303
131.457,119182
132.119,119062
132.782,118943
133.444,118825
134.107,118708
134.77,118593
135.432,118478
136.095,118364
136.757,118251
137.42,118138
138.082,118027
138.745,117916
139.408,117806
140.07,117696
140.733,117587
141.395,117479
142.058,117372
142.721,117265
143.383,117158
144.046,117053
144.708,116948
145.371,116845
146.034,116742
146.696,116641
147.359,116541
148.021,116441
148.684,116341
149.346,116242
150.009,116143
150.672,116043
151.334,115944
151.997,115845
152.659,115746
153.322,115648
153.985,115552
154.647,115456
155.31,115362
155.972,115268
156.635,115176
157.297,115084
157.96,114994
158.623,114903
159.285,114814
159.948,114724
160.61,114635
161.273,114547
161.936,114458
162.598,114371
163.261,114283
163.923,114197
164.586,114110
165.249,114024
165.911,113939
166.574,113855
167.236,113771
167.899,113687
168.561,113605
169.224,113523
169.887,113442
170.549,113361
171.212,113281
171.874,113201
172.537,113121
173.2,113041
173.862,112961
174.525,112881
175.187,112801
175.85,112721
176.512,112641
177.175,112561
177.838,112482
178.5,112404
179.163,112327
179.825,112252
180.488,112177
181.151,112103
181.813,112030
182.476,111957
183.138,111884
183.801,111811
184.464,111738
185.126,111665
185.789,111592
186.451,111520
187.114,111448
187.776,111376
188.439,111305
189.102,111235
189.764,111164
190.427,111094
191.089,111025
191.752,110956
192.415,110887
193.077,110818
193.74,110750
194.402,110682
195.065,110615
195.727,110548
196.39,110481
197.053,110415
197.715,110349
198.378,110283
199.04,110217
199.703,110152
200.366,110087
201.028,110023
201.691,109958
202.353,109894
203.016,109830
203.679,109767
204.341,109704
204.341,109704
205.004,109641
205.666,109579
206.329,109517
206.991,109455
207.654,109393
208.317,109331
208.979,109270
209.642,109209
210.304,109149
210.967,109089
211.63,109029
212.292,108969
212.955,108909
213.617,108850
214.28,108791
214.942,108732
215.605,108673
216.268,108614
216.93,108556
217.593,108498
218.255,108441
218.918,108384
219.581,108327
220.243,108271
220.906,108215
221.568,108160
222.231,108104
222.894,108049
223.556,107993
224.219,107938
224.881,107883
225.544,107827
226.206,107772
226.869,107717
227.532,107662
228.194,107607
228.857,107553
229.519,107499
230.182,107445
230.845,107392
231.507,107339
232.17,107287
232.832,107235
233.495,107183
234.158,107131
234.82,107080
235.483,107028
236.145,106977
236.808,106926
237.47,106875
238.133,106825
238.796,106774
239.458,106724
240.121,106674
240.783,106624
241.446,106574
242.109,106524
