x, heatflux
4.592927300000013450e-04,2.410255692999999970e+06
5.020040800000060907e-04,2.264893532999999821e+06
5.480371400000052119e-04,2.129340518999999855e+06
5.975503300000042884e-04,1.936641722000000067e+06
6.506720799999996061e-04,1.797391189999999944e+06
7.075402700000025993e-04,1.697506189999999944e+06
7.682654900000045108e-04,1.622873016000000061e+06
8.330222400000053236e-04,1.547685732000000076e+06
9.019036000000042307e-04,1.470453216999999946e+06
9.750550900000050153e-04,1.397211958000000101e+06
1.052588599999999906e-03,1.311448939000000013e+06
1.134736700000004914e-03,1.228741509000000078e+06
1.221590740000003377e-03,1.139777594999999972e+06
1.313313310000005247e-03,1.063143284999999916e+06
1.410027730000003050e-03,1.002576908000000054e+06
1.511979160000002714e-03,9.566715043999999762e+05
1.619295170000000818e-03,9.218443427999999840e+05
1.732187920000001144e-03,8.920929337000000523e+05
1.850836810000004154e-03,8.615294309999999823e+05
1.975560250000001072e-03,8.331794510999999475e+05
2.106527720000002726e-03,8.010687630999999819e+05
2.243992750000003717e-03,7.676990703999999678e+05
2.388178300000000018e-03,7.341289070999999531e+05
2.539424090000004172e-03,7.002548706999999704e+05
2.697969120000003138e-03,6.669128717000000179e+05
2.864135380000000508e-03,6.365906265999999596e+05
3.038220290000005243e-03,6.122921001999999862e+05
3.220647790000000839e-03,5.942352419000000227e+05
3.411716310000002632e-03,5.808831700000000419e+05
3.611806370000003683e-03,5.697178972999999532e+05
3.821277260000002091e-03,5.587691095000000205e+05
4.040597890000000719e-03,5.465130098999999464e+05
4.270153159999999851e-03,5.320448351999999722e+05
4.510410320000005080e-03,5.150136660000000265e+05
4.761820400000004415e-03,4.961969288999999990e+05
5.024960950000000731e-03,4.763687105999999912e+05
5.300295830000002761e-03,4.545646047999999719e+05
5.588377520000001666e-03,4.313175094999999856e+05
5.889743980000005860e-03,4.085707068999999901e+05
6.205054020000005770e-03,3.875151172999999835e+05
6.534884460000000249e-03,3.703269628999999841e+05
6.879904310000000550e-03,3.581620853999999817e+05
7.240768559999999354e-03,3.497650926999999792e+05
7.618280980000001132e-03,3.428465769999999902e+05
8.013118590000005079e-03,3.360565602000000072e+05
8.426070550000006390e-03,3.292099255000000121e+05
8.857913570000000569e-03,3.225961588999999803e+05
9.309574490000003394e-03,3.155540182999999961e+05
9.781885490000001224e-03,3.074306092000000062e+05
1.027580518000000692e-02,2.982262870000000112e+05
1.079226739999999962e-02,2.884220022999999928e+05
1.133239861000000584e-02,2.784379464000000153e+05
1.189716397000000099e-02,2.685796616999999969e+05
1.248768675000000092e-02,2.589866494999999995e+05
1.310508054000000290e-02,2.499395008000000089e+05
1.375065978999999959e-02,2.415324175999999861e+05
1.442559228999999721e-02,2.336810430000000051e+05
1.513121883000000806e-02,2.262088146999999881e+05
1.586886735999999687e-02,2.191572394999999960e+05
1.664012116000000707e-02,2.125182429999999877e+05
1.744636752000000915e-02,2.062877472000000125e+05
1.828918221000000802e-02,2.004265592999999935e+05
1.917012784999999955e-02,1.948030918999999994e+05
2.009101981000000620e-02,1.895891535999999905e+05
2.105354715000000085e-02,1.851255299999999988e+05
2.205957962000000896e-02,1.813764084999999905e+05
2.311098796999999649e-02,1.780647547999999952e+05
2.420995978999999909e-02,1.747621889000000083e+05
2.535844570999999659e-02,1.711253070000000007e+05
2.655863858000000882e-02,1.670960947999999917e+05
2.781280227999999993e-02,1.626414419000000053e+05
2.912338139999999867e-02,1.578902130999999936e+05
3.049275366999999737e-02,1.533442151000000013e+05
3.192355756000000294e-02,1.495015519999999960e+05
3.341839851000000250e-02,1.464269784999999974e+05
3.498021110000000544e-02,1.437497116000000096e+05
3.661178068000001118e-02,1.409984833999999973e+05
3.831618715000000702e-02,1.378938953000000038e+05
4.009652327000000349e-02,1.343271375000000116e+05
4.195614254000000487e-02,1.304823387999999977e+05
4.389838686999999323e-02,1.267757078000000038e+05
4.592686170000000179e-02,1.235743414999999950e+05
4.804521209999999820e-02,1.209810574000000051e+05
5.025726960000000132e-02,1.187503666999999987e+05
5.256707730000000772e-02,1.164760209000000032e+05
5.497871969999999775e-02,1.138299683999999979e+05
5.749653450000000859e-02,1.107513899999999994e+05
6.012496700000000138e-02,1.075276392999999953e+05
6.286869790000000624e-02,1.046465630999999994e+05
6.573249350000000268e-02,1.024953959000000032e+05
6.872138669999999783e-02,1.009565071000000025e+05
7.184043390000001417e-02,9.949309113000000070e+04
7.509511750000000263e-02,9.762502008000000205e+04
7.849095050000001739e-02,9.521853723000000173e+04
8.203372170000002017e-02,9.251371304000000237e+04
8.572928720000000391e-02,9.000455402999999933e+04
8.958388359999999717e-02,8.817984698000000208e+04
9.360382800000001391e-02,8.705894267999999283e+04
9.779571159999998764e-02,8.615618963999999687e+04
1.021662257000000018e-01,8.493560972999999649e+04
1.067224264999999950e-01,8.316165913000000000e+04
1.114714948000000011e-01,8.098805203000000620e+04
1.164208439999999956e-01,7.886538102000000072e+04
1.215781041000000007e-01,7.730203294000000460e+04
1.269510912000000047e-01,7.644107000000000698e+04
1.325478737000000129e-01,7.591903472999999940e+04
1.383766706999999818e-01,7.517795940000000701e+04
1.444460927000000006e-01,7.387121396999999706e+04
1.507646397999999888e-01,7.211684085999999661e+04
1.573412409000000123e-01,7.024637909000000218e+04
1.641848511000000010e-01,6.870828145999999833e+04
1.713049338999999838e-01,6.778016362000000663e+04
1.787106415000000170e-01,6.736230848999999580e+04
1.864116721999999893e-01,6.706235474999999860e+04
1.944175890999999823e-01,6.644242849999999453e+04
2.027387562000000087e-01,6.535174644000000262e+04
2.113846173999999745e-01,6.395932168999999703e+04
2.203654406999999704e-01,6.253666238000000158e+04
2.296911615999999989e-01,6.134456721000000107e+04
2.393725231999999925e-01,6.058852002000000357e+04
2.494192473999999604e-01,6.028430941999999777e+04
2.598418749999999999e-01,6.022119174000000203e+04
2.706503818000000061e-01,6.007633527000000322e+04
2.818559018999999832e-01,5.959348962999999640e+04
2.934676415999999954e-01,5.875758454000000347e+04
3.054959525000000009e-01,5.775244101999999839e+04
3.179503517999999751e-01,5.677451857000000018e+04
3.308413418000000217e-01,5.595112283000000025e+04
3.441775442000000185e-01,5.537909807000000001e+04
3.579685350999999849e-01,5.512274906000000192e+04
3.722227510000000184e-01,5.513827891000000091e+04
3.869499801999999877e-01,5.524709694000000309e+04
4.021569536999999861e-01,5.521500179000000207e+04
4.178516963999999723e-01,5.490033696000000054e+04
4.340407618000000078e-01,5.432759365999999864e+04
4.507316820999999751e-01,5.362622110000000248e+04
4.679291555000000269e-01,5.294262516000000323e+04
4.856387871000000245e-01,5.237679823000000033e+04
5.038643649999999807e-01,5.195882078000000183e+04
5.226110130000001242e-01,5.168798500000000058e+04
5.418796852999999691e-01,5.157828846999999951e+04
5.616725826999999782e-01,5.165762342999999964e+04
5.819897633000000736e-01,5.190912438999999722e+04
6.028320783999999710e-01,5.224360951000000205e+04
6.241966978000000887e-01,5.252263139000000228e+04
6.460814967000000353e-01,5.262253513999999996e+04
6.684819371000001453e-01,5.250011400999999751e+04
6.913946102000001481e-01,5.220291182000000117e+04
7.148112044000000109e-01,5.182776793999999791e+04
7.387244556000001072e-01,5.146262984000000142e+04
7.631245269000000997e-01,5.115143411000000197e+04
7.880021004000000717e-01,5.090366399999999703e+04
8.133438432999999801e-01,5.072358905000000232e+04
8.391368888000000359e-01,5.061557755000000179e+04
8.653657873000001333e-01,5.057329555000000255e+04
8.920159292000000573e-01,5.058616277999999875e+04
9.190679692000000012e-01,5.065485452999999688e+04
9.465033838999999949e-01,5.079452234999999928e+04
