x,Curve1
89.00632,0.604
89.08402,0.4846
89.18989,0.5684
89.37348,0.6391
89.46474,0.6663
89.56471,0.6744
89.75595,0.745
89.93953,0.7803
90.12312,0.8509
90.31436,0.9216
90.50559,0.9569
90.68918,1.0275
90.88041,1.0628
91.07163,1.0626
91.26286,1.0625
91.44644,1.0978
91.63767,1.133
91.82891,1.2037
92.01251,1.3097
92.19611,1.4866
92.37208,1.6988
92.53279,2.1589
92.61271,2.6522
92.62463,2.442
92.63846,2.2451
92.64877,1.1367
92.67612,1.6544
92.69192,1.8269
92.71633,1.9464
92.78137,2.2129
92.86175,2.4418
93.00716,2.9019
93.15258,3.3974
93.28272,3.9991
93.40522,4.6361
93.51244,5.3794
93.60435,6.0519
93.68862,6.8306
93.74997,7.6801
93.76543,9.4298
93.76558,9.45
93.78104,10.335
93.79104,13.2755
93.80576,21.465
93.8252,12.3194
93.83486,11.8925
93.84235,11.0075
93.85749,10.1225
93.88638,9.312
93.93063,9.1026
94.04096,9.5206
94.14817,10.2285
94.25539,10.9718
94.34732,11.7505
94.44689,12.4938
94.54646,13.2371
94.64603,13.9803
94.76854,14.6528
94.89103,15.2899
95.03645,15.7854
95.21244,16.1038
95.41324,16.2099
95.58344,16.2451
95.63309,15.8557
95.70944,15.0769
95.77813,14.2627
95.86213,13.4485
95.98439,12.7758
96.13729,12.3155
96.29785,11.926
96.4737,11.5365
96.54252,11.3816
96.64959,11.2886
96.73802,11.2487
96.83313,11.1115
97.01665,10.8282
97.19254,10.5802
97.37608,10.4031
97.55964,10.2968
97.7432,10.1905
97.92675,10.0841
