x,Curve1
88.51104,0.3566
88.71277,0.3566
88.83835,0.3539
88.89836,0.4156
88.95381,0.5252
89.04357,0.622
89.23722,0.7252
89.43087,0.7842
89.62452,0.8432
89.81817,0.9022
90.01183,0.9464
90.21356,0.9612
90.40721,1.0054
90.60893,1.0497
90.80259,1.0792
91.00432,1.1234
91.19798,1.1382
91.3997,1.1677
91.60143,1.1825
91.79509,1.212
91.99681,1.2267
92.19854,1.2415
92.3922,1.2563
92.49962,1.2876
92.56971,1.3447
92.60904,1.3834
92.63627,1.4138
92.73917,1.3153
92.92474,1.4332
93.09418,1.5807
93.25553,1.7871
93.40074,2.023
93.54595,2.2883
93.68308,2.5537
93.79601,2.8486
93.90893,3.1582
94.01378,3.4678
94.11056,3.7921
94.19928,4.1165
94.28799,4.4408
94.36863,4.7799
94.44927,5.119
94.53798,5.4581
94.61862,5.7824
94.70733,6.1215
94.78798,6.4606
94.88476,6.7849
94.98154,7.0945
95.09447,7.3894
95.22353,7.6695
95.37681,7.9054
95.51498,8.0031
95.56239,7.9791
95.64108,7.8658
95.69154,7.7285
95.78035,7.4042
95.86916,7.0651
95.92567,6.891
95.99024,6.7703
96.12746,6.5197
96.29694,6.3428
96.45835,6.1806
96.63589,6.048
96.82956,5.989
97.02322,5.9743
97.22495,5.9743
97.42669,5.9596
97.62842,5.9596
97.82208,5.9744
